rank,index,beta_mean,beta_median,beta_sd,ci_2p5,ci_97p5,beta_mean_raw,beta_median_raw,ci_2p5_raw,ci_97p5_raw,abs_beta_mean,abs_beta_median,post_prob_abs_gt_thresh,selected_mean_thresh,selected_median_thresh,selected_ci_excludes_zero,sign_beta_mean,sign_beta_median
1,597179,0.330542137361147,0.331359980126245,0.0290590309727645,0.265642087394065,0.38568922433029,134.7169,135.0502,108.266,157.1928,0.330542137361147,0.331359980126245,1,1,1,1,1,1
2,296630,-0.300796150204983,-0.302154076459152,0.0291585982274676,-0.354742471813279,-0.232982442268627,-160.5835,-161.3084,-189.3833,-124.3803,0.300796150204983,0.302154076459152,1,1,1,1,-1,-1
3,701921,0.30061383004081,0.299208330343158,0.0287960736627909,0.246851960020416,0.363423008976771,146.6201,145.9346,120.3985,177.2543,0.30061383004081,0.299208330343158,1,1,1,1,1,1
4,736723,-0.154929651094603,-0.155280868813557,0.0239767659789736,-0.202771527095421,-0.107531621650522,-57.58032,-57.71085,-75.36097,-39.96462,0.154929651094603,0.155280868813557,1,1,1,1,-1,-1
5,128551,0.151719558014549,0.151561242793019,0.0220293022619077,0.106940375017066,0.192785062928203,24.35757,24.33215,17.16857,30.95036,0.151719558014549,0.151561242793019,1,1,1,1,1,1
6,149239,-0.0728098111814646,-0.0823875675523562,0.0619232571195965,-0.185331805548072,0.0012182538961715,-20.30658,-22.97781,-51.68885,0.3397698,0.0728098111814646,0.0823875675523562,0.66125,1,1,0,-1,-1
7,53764,-0.0439227447210809,-0.0504655842760682,0.0305043450447367,-0.0998052687015306,0.000782508652870962,-47.51474,-54.59266,-107.9673,0.8465021,0.0439227447210809,0.0504655842760682,0.75375,1,1,0,-1,-1
8,115602,-0.0256775013279438,-0.00218403280442632,0.0326297808788638,-0.0970812456340161,0.00174787001572291,-18.31297,-1.557634,-69.23752,1.246566,0.0256775013279438,0.00218403280442632,0.4525,1,0,0,-1,-1
9,119321,-0.0246537669977755,-0.0104940104034378,0.0275886688897675,-0.0813932014291753,0.00130761239154605,-13.87969,-5.907964,-45.8231,0.7361653,0.0246537669977755,0.0104940104034378,0.505,1,1,0,-1,-1
10,155646,-0.0242197119384958,-0.00101523944240644,0.0335573071880199,-0.100334953350135,0.00203387612372774,-15.68051,-0.6572939,-64.95961,1.316787,0.0242197119384958,0.00101523944240644,0.4,1,0,0,-1,-1
11,149145,0.0203213060303588,0.00140588473965155,0.028935007695726,-0.00158297924453037,0.0886707468773519,9.901246,0.6849958,-0.7712824,43.20346,0.0203213060303588,0.00140588473965155,0.38,1,0,0,1,1
12,23028,0.0173970878446869,0.000976872996918769,0.0245576334598995,-0.00222033936930022,0.0761202376622479,5.677959,0.3188261,-0.7246614,24.84368,0.0173970878446869,0.000976872996918769,0.3875,1,0,0,1,1
13,150996,-0.0148789716313984,-0.00183899728590143,0.0193583089703472,-0.0586166594425555,0.00163833977254925,-19.27844,-2.382758,-75.94864,2.12277,0.0148789716313984,0.00183899728590143,0.4175,1,0,0,-1,-1
14,30459,-0.0139453149213131,-0.000199045018668867,0.0289076386699029,-0.100841847556483,0.00268844157238514,-37.7898,-0.5393834,-273.2669,7.285291,0.0139453149213131,0.000199045018668867,0.23625,1,0,0,-1,-1
15,7095,-0.0132322210517967,-0.000328103741049197,0.0247776845472091,-0.0810517666215643,0.00172238365082821,-7.471375,-0.1852588,-45.76466,0.972518,0.0132322210517967,0.000328103741049197,0.26125,1,0,0,-1,-1
16,32830,-0.0129079738838051,-0.000974757557797098,0.0174982397781184,-0.052232961685133,0.00168065656527228,-6.799263,-0.5134526,-27.51366,0.8852842,0.0129079738838051,0.000974757557797098,0.38125,1,0,0,-1,-1
17,46839,-0.0117791369637975,-0.000285383216371829,0.0212282383012955,-0.0690699313374579,0.00160914265172265,-14.39356,-0.3487251,-84.40027,1.966298,0.0117791369637975,0.000285383216371829,0.26875,1,0,0,-1,-1
18,40384,-0.01137887859764,-0.000248669634725318,0.0233647362685815,-0.0783630052069192,0.00227034301916383,-7.868827,-0.1719623,-54.19031,1.570009,0.01137887859764,0.000248669634725318,0.22625,1,0,0,-1,-1
19,42184,0.0113298290921541,0.000206247002312602,0.0252222073154394,-0.00330712182419181,0.0854273564024139,17.39964,0.3167412,-5.07887,131.194,0.0113298290921541,0.000206247002312602,0.20875,1,0,0,1,1
20,104881,-0.0103868305373927,-0.000166300726858304,0.0254476993325388,-0.0890200392053525,0.00276466510542856,-3.139499,-0.05026566,-26.90699,0.8356411,0.0103868305373927,0.000166300726858304,0.1825,1,0,0,-1,-1
21,92654,-0.0103661492638167,-0.000189225654910868,0.0233015673148262,-0.0830602428633118,0.00228682295932846,-2.439555,-0.0445321,-19.54728,0.5381777,0.0103661492638167,0.000189225654910868,0.2025,1,0,0,-1,-1
22,73497,-0.00901595959817013,-0.000546836278378841,0.0152211033165141,-0.0476876937424591,0.00164233308240486,-2.026176,-0.1228917,-10.71696,0.3690851,0.00901595959817013,0.000546836278378841,0.27625,0,0,0,-1,-1
23,29631,-0.00854760888645314,-0.000182489230136256,0.0190656133759874,-0.0655626767771837,0.0024380737279245,-86.56213,-1.848079,-663.9571,24.69052,0.00854760888645314,0.000182489230136256,0.2,0,0,0,-1,-1
24,149425,0.00751550514052393,0.000477329094942136,0.0134336814558436,-0.00212725460318685,0.0458300271728775,19.81563,1.258542,-5.60879,120.837,0.00751550514052393,0.000477329094942136,0.2425,0,0,0,1,1
25,82632,0.00751120158658331,6.99665857071942e-05,0.0215426502129175,-0.00288877294634023,0.0849161990065859,34.76087,0.3237963,-13.36887,392.9812,0.00751120158658331,6.99665857071942e-05,0.13875,0,0,0,1,1
26,108396,-0.00743858664899507,-0.000149112911171967,0.0175991535390256,-0.064571177014928,0.00214706007727705,-64.92513,-1.301481,-563.5872,18.73987,0.00743858664899507,0.000149112911171967,0.16875,0,0,0,-1,-1
27,72881,0.00741167333697658,0.00025891312305158,0.0148844654706117,-0.00212925655645457,0.050947858226696,4.059672,0.1418172,-1.16628,27.90619,0.00741167333697658,0.00025891312305158,0.21625,0,0,0,1,1
28,47453,-0.00653861404229652,1.0906123224745e-06,0.0518034927790975,-0.0294933349118941,0.00409974401712426,-0.6097565,0.0001017047,-2.750392,0.3823204,0.00653861404229652,1.0906123224745e-06,0.0425,0,0,0,-1,1
29,7173,0.00652251787779098,7.76688010731564e-05,0.0229174884726739,-0.00325992928670537,0.0830621291601406,1.954853,0.02327799,-0.977028,24.89441,0.00652251787779098,7.76688010731564e-05,0.115,0,0,0,1,1
30,15431,-0.00638670842115773,-3.21639237219164e-05,0.0416802764061321,-0.0546232314350683,0.00502379186608672,-0.78273,-0.003941885,-6.694409,0.6156963,0.00638670842115773,3.21639237219164e-05,0.06125,0,0,0,-1,-1
31,125589,0.00627410757007706,0.00018100640514574,0.0157351115634283,-0.0028007108662598,0.0571972018405607,11.62498,0.3353776,-5.189295,105.9778,0.00627410757007706,0.00018100640514574,0.165,0,0,0,1,1
32,120121,0.00622772339226841,0.000117081233256204,0.0144754378603203,-0.00258173687192805,0.0521703586481961,1.858388,0.0349377,-0.7704049,15.56793,0.00622772339226841,0.000117081233256204,0.17375,0,0,0,1,1
33,104409,0.00617322793358729,0.000187284533343779,0.013622424846682,-0.00157907312737214,0.0459794477761692,7.457954,0.2262608,-1.907698,55.54835,0.00617322793358729,0.000187284533343779,0.1825,0,0,0,1,1
34,34174,0.00616846853856146,0.000286535261776914,0.011784299597188,-0.00156087273393467,0.039921369339488,1.581348,0.07345617,-0.4001453,10.23424,0.00616846853856146,0.000286535261776914,0.2175,0,0,0,1,1
35,149752,0.00587911975086114,0.000273658775679835,0.0120801157566252,-0.0023985274511858,0.0433736164358793,4.924893,0.2292418,-2.009228,36.33374,0.00587911975086114,0.000273658775679835,0.2,0,0,0,1,1
36,13449,0.005839413704343,0.000199753296384905,0.0126013295723447,-0.00229893738143272,0.0424439348843419,30.92212,1.057777,-12.17383,224.7583,0.005839413704343,0.000199753296384905,0.19,0,0,0,1,1
37,30265,-0.00573732350178096,-0.000163926521821425,0.0130171426213073,-0.0465722036438341,0.00245252316389393,-6.003157,-0.1715219,-48.73008,2.566158,0.00573732350178096,0.000163926521821425,0.17,0,0,0,-1,-1
38,25714,-0.00569830308332577,-0.000178400202320573,0.0138042618530507,-0.0528440493224878,0.00181076501298223,-4.355444,-0.1363585,-40.39085,1.384041,0.00569830308332577,0.000178400202320573,0.16375,0,0,0,-1,-1
39,157722,-0.00562331288815787,-0.000145365764052926,0.016409578285164,-0.0612746790883313,0.00221002545131872,-2.169793,-0.05609035,-23.64325,0.8527531,0.00562331288815787,0.000145365764052926,0.12875,0,0,0,-1,-1
40,82918,0.00555312899912972,2.41340418022922e-05,0.0333031400584752,-0.00484081036378658,0.0630292991522045,0.4335822,0.001884359,-0.3779651,4.921258,0.00555312899912972,2.41340418022922e-05,0.06,0,0,0,1,1
41,85657,-0.00545601882245643,-0.000184187779813136,0.0122631838680205,-0.0447397840384538,0.00239512406589976,-5.30176,-0.1789802,-43.47485,2.327406,0.00545601882245643,0.000184187779813136,0.16875,0,0,0,-1,-1
42,28410,0.00540892386408691,0.000122390822263911,0.015315245606142,-0.00338521423727851,0.0552111820638403,4.369336,0.09886746,-2.73458,44.59966,0.00540892386408691,0.000122390822263911,0.13875,0,0,0,1,1
43,129262,0.00530456681965674,7.52052722943158e-05,0.0170381657680021,-0.00387787264702421,0.0662529551228014,49.96352,0.7083557,-36.52554,624.0341,0.00530456681965674,7.52052722943158e-05,0.125,0,0,0,1,1
44,38790,-0.00527784124713972,-1.55146563475766e-05,0.0395749145789616,-0.0285248950068575,0.00433890798286938,-0.6407449,-0.001883523,-3.463003,0.5267557,0.00527784124713972,1.55146563475766e-05,0.05375,0,0,0,-1,-1
45,108348,-0.00507776254284895,-0.000264226085356976,0.0112237602056654,-0.0404311095328206,0.00201030957855312,-1.237827,-0.06441149,-9.856059,0.4900615,0.00507776254284895,0.000264226085356976,0.1725,0,0,0,-1,-1
46,144497,0.00498040389812918,3.16375611425747e-05,0.0212042325745807,-0.00449029878085928,0.0739572466998223,1.554387,0.009874104,-1.401425,23.0821,0.00498040389812918,3.16375611425747e-05,0.07875,0,0,0,1,1
47,27059,0.00489886318065813,1.89719836334932e-06,0.0420122942087352,-0.00541145496301852,0.0223361330958329,0.6140453,0.0002378033,-0.6782958,2.79971,0.00489886318065813,1.89719836334932e-06,0.04,0,0,0,1,1
48,101493,-0.00482076612082212,-0.000133532653224025,0.0123545234415311,-0.0466584507353924,0.00270971559622304,-5.362376,-0.1485349,-51.90049,3.01415,0.00482076612082212,0.000133532653224025,0.14,0,0,0,-1,-1
49,133253,-0.00480864026947256,-0.000120724927110202,0.0118047277999559,-0.0452297880971211,0.00204519077106189,-2.376281,-0.05965852,-22.35116,1.01067,0.00480864026947256,0.000120724927110202,0.14375,0,0,0,-1,-1
50,131698,-0.00478961705359893,-5.84119195376458e-05,0.0182804749657232,-0.067794663661911,0.00318960114809612,-2.827368,-0.03448125,-40.02,1.88286,0.00478961705359893,5.84119195376458e-05,0.09625,0,0,0,-1,-1
51,121604,0.00477205782479625,0.000214090170611107,0.0109032971970425,-0.00225716196682799,0.0401897423626171,3.561362,0.1597744,-1.684508,29.9934,0.00477205782479625,0.000214090170611107,0.165,0,0,0,1,1
52,145,0.00472462475113385,0.000158382585329107,0.0115805075114278,-0.00199779954741605,0.04194315349164,1.760372,0.05901258,-0.7443703,15.62781,0.00472462475113385,0.000158382585329107,0.1575,0,0,0,1,1
53,15263,0.00465984231877692,0.000155772682474779,0.011272386122778,-0.00196979711329908,0.0429612236922438,4.164602,0.1392174,-1.76045,38.39537,0.00465984231877692,0.000155772682474779,0.15,0,0,0,1,1
54,144064,-0.00440252097426095,-0.000162260469980004,0.0105303197472998,-0.0387046205213315,0.00260213125163477,-0.730062,-0.02690736,-6.418316,0.4315067,0.00440252097426095,0.000162260469980004,0.15,0,0,0,-1,-1
55,76534,-0.00436703353894437,-0.000179257804937651,0.0107985768893753,-0.0434948691011354,0.00195046486346766,-32.80217,-1.346462,-326.7037,14.65056,0.00436703353894437,0.000179257804937651,0.145,0,0,0,-1,-1
56,62161,0.00435091956212314,0.000125027523563106,0.0139121726247291,-0.00293289205528906,0.0544935463289859,1.440414,0.04139156,-0.970962,18.04061,0.00435091956212314,0.000125027523563106,0.11,0,0,0,1,1
57,90423,0.0042955935258601,1.72046232026402e-05,0.0207189008938171,-0.00438665757912599,0.0752649092914079,0.5795527,0.002321212,-0.5918388,10.15459,0.0042955935258601,1.72046232026402e-05,0.075,0,0,0,1,1
58,9140,0.00429029330430261,0.000135940651337778,0.010775179513921,-0.00232481260042838,0.0389142947392288,3.656077,0.1158451,-1.981145,33.16175,0.00429029330430261,0.000135940651337778,0.1425,0,0,0,1,1
59,6232,-0.00427644932137737,-3.24314913730079e-05,0.0197426623354718,-0.0676889050694918,0.00430601318656145,-3.915627,-0.02969511,-61.97771,3.942697,0.00427644932137737,3.24314913730079e-05,0.07375,0,0,0,-1,-1
60,63366,0.00426275000770584,9.41720965601092e-05,0.0134210461139131,-0.00262159681029977,0.0507852124620414,1.835333,0.04054593,-1.128732,21.86564,0.00426275000770584,9.41720965601092e-05,0.11125,0,0,0,1,1
61,50251,0.00421277988369327,-1.13111335290187e-05,0.0512054660245166,-0.00363602941197113,0.00500354465182002,0.3700291,-0.0009935123,-0.3193703,0.4394859,0.00421277988369327,1.13111335290187e-05,0.025,0,0,0,1,-1
62,83828,0.00412619829348974,2.95851194953831e-05,0.0193394753175768,-0.0030981474554213,0.0665792158479689,1.798026,0.01289197,-1.350044,29.01246,0.00412619829348974,2.95851194953831e-05,0.0675,0,0,0,1,1
63,59276,0.00411957502549726,4.85950735652298e-05,0.0141687619217772,-0.00314335461652632,0.0552485667723165,2.162248,0.02550617,-1.649857,28.9984,0.00411957502549726,4.85950735652298e-05,0.10625,0,0,0,1,1
64,104954,0.00406430332759311,-9.41332208632755e-06,0.0366028041648733,-0.00579350195368455,0.0177785102122483,0.3834144,-0.0008880252,-0.546542,1.677173,0.00406430332759311,9.41332208632755e-06,0.0475,0,0,0,1,-1
65,67469,0.00404676929610039,0.000131776483810697,0.0103380491749104,-0.00192725899481598,0.041818262195873,2.326516,0.07575924,-1.107995,24.04162,0.00404676929610039,0.000131776483810697,0.13375,0,0,0,1,1
