index,beta_true_raw,beta_true_std,is_signal,marginal_score,log_marginal_score,z_score,z_score_clipped
1,2.5,0.559372243347489,1,0.594602175697219,-0.519861027535633,1.05831072417065,1.05831072417065
2,-2,-0.447497794677992,1,0.607711773019381,-0.498052921435122,1.07493597702132,1.07493597702132
3,1.8,0.402748015210192,1,0.407857993045979,-0.896833769592708,0.770928265298566,0.770928265298566
4,-1.5,-0.335623346008494,1,0.445945651335741,-0.807555949955764,0.838988569048907,0.838988569048907
5,1.2,0.268498676806795,1,0.25430128133984,-1.36923163553713,0.410799149489766,0.410799149489766
6,0,0,0,0.0516409186743659,-2.96342155888435,-0.804520073806401,-0.804520073806401
7,0,0,0,0.0971398505644523,-2.3315932860348,-0.322850333852319,-0.322850333852319
8,0,0,0,0.0412430008908442,-3.18824960972708,-0.97591612149416,-0.97591612149416
9,0,0,0,0.118149737258307,-2.13579403534917,-0.173584183200953,-0.173584183200953
10,0,0,0,0.0126456455275406,-4.37036327466238,-1.87709197267538,-1.87709197267538
