"Case","sensitivity_casenum","Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"Case 1",1,"BUGS","0.052 (0.0032)","0.397 (0.0135)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","298.031 (0.9112)"
"Case 2",2,"BUGS","0.064 (0.0070)","0.410 (0.0173)","0.002 (0.0002)","0.005 (0.0009)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","297.021 (0.7638)"
"Case 3",3,"BUGS","0.053 (0.0032)","0.431 (0.0147)","0.002 (0.0001)","0.004 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","297.401 (0.7320)"
"Case 4",4,"BUGS","0.053 (0.0031)","0.394 (0.0149)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","296.344 (0.6619)"
"Case 5",5,"BUGS","0.054 (0.0035)","0.389 (0.0137)","0.002 (0.0001)","0.004 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","296.177 (0.7627)"
"Case 6",6,"BUGS","0.062 (0.0050)","0.432 (0.0228)","0.002 (0.0002)","0.004 (0.0004)","1.000 (0.0000)","0.001 (0.0003)","0.965 (0.0139)","0.067 (0.0260)","298.562 (0.7554)"
"Case 7",7,"BUGS","0.059 (0.0047)","0.410 (0.0187)","0.002 (0.0001)","0.004 (0.0005)","1.000 (0.0000)","0.000 (0.0001)","0.991 (0.0063)","0.018 (0.0121)","296.163 (0.7147)"
"Case 8",8,"BUGS","0.052 (0.0032)","0.389 (0.0105)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0000)","1.000 (0.0000)","0.000 (0.0000)","296.308 (0.6560)"
"Case 9",9,"BUGS","0.053 (0.0033)","0.388 (0.0125)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","295.970 (0.6017)"
"Case 10",10,"BUGS","0.052 (0.0033)","0.385 (0.0141)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","295.899 (0.6255)"
"Case 11",11,"BUGS","0.053 (0.0031)","0.397 (0.0156)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","296.038 (0.6642)"
"Case 12",12,"BUGS","0.053 (0.0033)","0.413 (0.0137)","0.002 (0.0001)","0.004 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","295.224 (0.6444)"
