Parameter,ParamType,Index,ESS,PostMean,PostMedian,PostSD,CI2p5,CI97p5,Rep,NumDrawsUsed,CompTime
tau,hyperparameter,NaN,12.6937016307215,0.00184859521375416,0.00184022654492713,0.00061477104713358,0.000811839234406653,0.00325678632693426,1,800,269.3802361
c2,hyperparameter,NaN,748.99990933335,10.8676919625333,10.2932659969512,3.69661601247625,5.66016215152328,19.7842136741071,1,800,269.3802361
eta,hyperparameter,NaN,800,0.00162438288213344,0.00140968575607903,0.00120757525358348,7.67534079431908e-05,0.00448843829045445,1,800,269.3802361
sigma2,hyperparameter,NaN,249.444438865172,0.0571207548148813,0.056314888900932,0.00650249137538593,0.0458097547831225,0.0714632019552875,1,800,269.3802361
beta_1,signal_beta,1,754.156054975387,0.537542925457085,0.537512179095188,0.0184902253962089,0.502224778300469,0.574716826175508,1,800,269.3802361
beta_5,signal_beta,5,800,0.274919571916353,0.275400320812914,0.0185158838479695,0.239259350473075,0.312459197866615,1,800,269.3802361
beta_10,signal_beta,10,800,-0.124719006738324,-0.124881033708436,0.0181676702702989,-0.160746557137653,-0.0907735426752785,1,800,269.3802361
beta_11,noise_beta,11,685.781915587435,-0.000279463884330575,-1.00029757545422e-05,0.00282878074552241,-0.00456250751858045,0.00272859578811578,1,800,269.3802361
beta_506,noise_beta,506,800,-8.41266356972587e-05,-4.27148967411127e-06,0.00274830754132824,-0.00458635154442039,0.00363683404438975,1,800,269.3802361
beta_1000,noise_beta,1000,568.110346091195,-4.68781470176133e-05,1.26343146219965e-06,0.00242773452278432,-0.00402752656842617,0.00347032042045066,1,800,269.3802361
