"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.230 (0.0151)","1.216 (0.0870)","0.002 (0.0002)","0.028 (0.0020)","1.000 (0.0000)","0.002 (0.0003)","0.602 (0.0303)","0.629 (0.0369)","1.27 (0.015)"
"UniLASSO","0.208 (0.0322)","1.098 (0.2597)","0.002 (0.0003)","0.030 (0.0066)","0.970 (0.0153)","0.002 (0.0006)","0.577 (0.0465)","0.638 (0.0537)","2.60 (0.169)"
"BayesLASSO","0.983 (0.0162)","13.604 (0.0730)","0.010 (0.0002)","0.050 (0.0022)","0.240 (0.0163)","0.000 (0.0000)","0.487 (0.0164)","0.000 (0.0000)","96.00 (16.883)"
"SSLASSO","0.214 (0.0095)","1.817 (0.0909)","0.002 (0.0001)","0.044 (0.0021)","1.000 (0.0000)","0.005 (0.0003)","0.414 (0.0085)","0.827 (0.0068)","38.72 (4.245)"
"Horseshoe","0.106 (0.0049)","1.986 (0.0497)","0.001 (0.0000)","0.051 (0.0021)","1.000 (0.0000)","0.001 (0.0001)","0.726 (0.0187)","0.470 (0.0280)","113.87 (19.247)"
"Horseshoe+","0.116 (0.0033)","1.972 (0.0448)","0.001 (0.0000)","0.051 (0.0021)","1.000 (0.0000)","0.001 (0.0001)","0.667 (0.0132)","0.553 (0.0176)","115.01 (20.001)"
"SIS-LASSO","0.463 (0.0442)","2.079 (0.2174)","0.005 (0.0004)","0.091 (0.0131)","0.650 (0.0342)","0.002 (0.0001)","0.377 (0.0208)","0.780 (0.0128)","0.04 (0.003)"
"SIS-SCAD","0.436 (0.0536)","1.789 (0.3344)","0.004 (0.0005)","0.093 (0.0133)","0.650 (0.0342)","0.002 (0.0003)","0.450 (0.0475)","0.677 (0.0523)","0.05 (0.005)"
"SIS-RHS","0.417 (0.0408)","1.714 (0.1908)","0.004 (0.0004)","0.090 (0.0136)","0.650 (0.0342)","0.002 (0.0001)","0.389 (0.0269)","0.765 (0.0206)","11.33 (0.052)"
"BUGS","0.066 (0.0100)","0.712 (0.0663)","0.001 (0.0001)","0.006 (0.0011)","1.000 (0.0000)","0.000 (0.0000)","0.991 (0.0062)","0.018 (0.0121)","4435.43 (21.596)"
"BUGS-Active","0.060 (0.0054)","0.915 (0.0300)","0.001 (0.0001)","0.008 (0.0006)","1.000 (0.0000)","0.000 (0.0000)","0.987 (0.0094)","0.026 (0.0181)","2399.43 (7.660)"
