"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.144 (0.0075)","0.747 (0.0649)","0.005 (0.0002)","0.015 (0.0013)","1.000 (0.0000)","0.014 (0.0026)","0.665 (0.0353)","0.541 (0.0470)","0.15 (0.011)"
"UniLASSO","0.132 (0.0170)","0.469 (0.0486)","0.004 (0.0005)","0.019 (0.0035)","0.970 (0.0153)","0.008 (0.0011)","0.737 (0.0251)","0.432 (0.0342)","0.12 (0.003)"
"BayesLASSO","0.431 (0.0186)","6.076 (0.1775)","0.014 (0.0006)","0.044 (0.0017)","1.000 (0.0000)","0.113 (0.0078)","0.273 (0.0089)","0.915 (0.0047)","14.02 (0.310)"
"Dirich-Laplace","0.141 (0.0406)","0.652 (0.1267)","0.004 (0.0013)","0.030 (0.0166)","1.000 (0.0000)","0.000 (0.0000)","1.000 (0.0000)","0.000 (0.0000)","895.74 (7.683)"
"R2D2","0.080 (0.0038)","1.146 (0.0272)","0.003 (0.0001)","0.015 (0.0010)","1.000 (0.0000)","0.004 (0.0011)","0.845 (0.0287)","0.275 (0.0475)","894.96 (5.556)"
"SSLASSO","0.187 (0.0076)","1.721 (0.0602)","0.006 (0.0002)","0.032 (0.0014)","1.000 (0.0000)","0.055 (0.0023)","0.386 (0.0069)","0.842 (0.0052)","0.91 (0.094)"
"Horseshoe","0.088 (0.0114)","1.123 (0.1699)","0.003 (0.0004)","0.017 (0.0048)","1.000 (0.0000)","0.009 (0.0032)","0.791 (0.0532)","0.345 (0.0781)","14.81 (0.268)"
"Horseshoe+","0.116 (0.0078)","1.487 (0.1221)","0.004 (0.0002)","0.024 (0.0028)","1.000 (0.0000)","0.021 (0.0029)","0.584 (0.0309)","0.644 (0.0372)","15.35 (0.246)"
"Mhorseshoe","0.060 (0.0038)","0.601 (0.0225)","0.002 (0.0001)","0.006 (0.0005)","1.000 (0.0000)","0.002 (0.0005)","0.938 (0.0210)","0.114 (0.0382)","199.68 (16.679)"
"BUGS","0.052 (0.0032)","0.397 (0.0135)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","292.87 (0.801)"
"BUGS-Active","0.052 (0.0032)","0.397 (0.0135)","0.002 (0.0001)","0.003 (0.0003)","1.000 (0.0000)","0.000 (0.0001)","0.995 (0.0047)","0.009 (0.0091)","334.38 (0.350)"
