rank,index,cpg_name,n_draw_used,beta_mean,beta_median,beta_sd,ci_2p5,ci_97p5,post_prob_abs_gt_thresh,post_prob_positive,sign_mean
1,597179,cg18537454,800,0.3305421373611466,0.33135998012624546,0.02905903097276452,0.2656432835927942,0.38568320140218126,1,1,Positive
2,296630,cg18307303,800,-0.3007961502049831,-0.30215407645915204,0.029158598227467566,-0.3546062313546625,-0.23378757656177024,1,0,Negative
3,701921,cg12277678,800,0.3006138300408097,0.2992083303431585,0.028796073662790925,0.2468845313218378,0.36272809709395576,1,1,Positive
4,736723,cg01911567,800,-0.1549296510946025,-0.15528086881355652,0.023976765978973618,-0.20276673372168236,-0.1075498149722701,1,0,Negative
5,128551,cg03338348,800,0.15171955801454856,0.1515612427930195,0.02202930226190772,0.10695776275280187,0.19275820897011706,1,1,Positive
6,149239,cg04167854,536,-0.10857810850141802,-0.11019100090245951,0.042916580089505676,-0.1906471904182544,-0.0176629497272616,0.9869402985074627,0.0037313432835820895,Negative
7,53764,cg23691090,610,-0.0575189318764667,-0.0577843742987958,0.02099576795206251,-0.10159293177253824,-0.015800106374082804,0.9885245901639345,0.001639344262295082,Negative
8,115602,cg09292826,377,-0.05436592196071708,-0.0542615855684054,0.026464692065514286,-0.106495913400558,-0.008549758754216022,0.9602122015915119,0.010610079575596816,Negative
9,119321,cg12985929,425,-0.04612144889787667,-0.0462896595990908,0.021152153920601813,-0.08828633562193532,-0.006949110496508399,0.9505882352941176,0,Negative
10,155646,cg20961940,340,-0.056822181365117665,-0.05726384285639455,0.028253855112996124,-0.11006161504897635,-0.006457956378076989,0.9411764705882353,0.0058823529411764705,Negative
