rank,index,cpg_name,gene,gene_group,chr,pos,strand,island_relation,beta_mean,beta_median,beta_sd,ci_2p5,ci_97p5,post_prob_abs_gt_thresh,selected_mean_thresh,selected_median_thresh,selected_ci_excludes_zero,sign_beta_mean,sign_beta_median,n_draw_used
1,597179,cg18537454,,,chr10,22623213,+,N_Shore,0.3305421373611466,0.33135998012624546,0.02905903097276452,0.2656432835927942,0.38568320140218126,1,1,1,1,positive,positive,800
2,296630,cg18307303,IL12B;IL12B,1stExon;5'UTR,chr5,158757456,+,N_Shore,-0.3007961502049831,-0.30215407645915204,0.029158598227467566,-0.3546062313546625,-0.23378757656177024,1,1,1,1,negative,negative,800
3,701921,cg12277678,LINC00703;LINC00703,TSS200;TSS200,chr10,4426258,+,OpenSea,0.3006138300408097,0.2992083303431585,0.028796073662790925,0.2468845313218378,0.36272809709395576,1,1,1,1,positive,positive,800
4,736723,cg01911567,FRMD4A,Body,chr10,13727536,-,OpenSea,-0.1549296510946025,-0.15528086881355652,0.023976765978973618,-0.20276673372168236,-0.1075498149722701,1,1,1,1,negative,negative,800
5,128551,cg03338348,TSNAXIP1;RANBP10;RANBP10,TSS1500;1stExon;5'UTR,chr16,67840472,-,Island,0.15171955801454856,0.1515612427930195,0.02202930226190772,0.10695776275280187,0.19275820897011706,1,1,1,1,positive,positive,800
6,149239,cg04167854,SERGEF,Body,chr11,18031127,-,N_Shelf,-0.10857810850141802,-0.11019100090245951,0.042916580089505676,-0.1906471904182544,-0.0176629497272616,0.9869402985074627,1,1,1,negative,negative,536
7,53764,cg23691090,C22orf26;C22orf26;LOC150381,1stExon;5'UTR;Body,chr22,46449981,-,Island,-0.0575189318764667,-0.0577843742987958,0.02099576795206251,-0.10159293177253824,-0.015800106374082804,0.9885245901639345,1,1,1,negative,negative,610
8,115602,cg09292826,TCTEX1D4;BTBD19,TSS1500;TSS200,chr1,45274032,+,S_Shore,-0.05436592196071708,-0.0542615855684054,0.026464692065514286,-0.106495913400558,-0.008549758754216022,0.9602122015915119,1,1,1,negative,negative,377
9,119321,cg12985929,SEPT9;SEPT9;SEPT9;SEPT9,5'UTR;Body;Body;Body,chr17,75370611,-,S_Shore,-0.04612144889787667,-0.0462896595990908,0.021152153920601813,-0.08828633562193532,-0.006949110496508399,0.9505882352941176,1,1,1,negative,negative,425
10,155646,cg20961940,SLC44A4,Body,chr6,31832850,-,S_Shore,-0.056822181365117665,-0.05726384285639455,0.028253855112996124,-0.11006161504897635,-0.006457956378076989,0.9411764705882353,1,1,1,negative,negative,340
