"CpG","Gene.s.","Region","Chr.Pos","Island","beta_hat_actual_scale","ci_2p5_actual_scale","ci_97p5_actual_scale","X95..CI"
"cg18537454","","","chr10:22623213","N_Shore",134.7,108.3,157.2,"[108.3, 157.2]"
"cg18307303","IL12B;IL12B","1stExon;5'UTR","chr5:158757456","N_Shore",-160.6,-189.3,-124.8,"[-189.3, -124.8]"
"cg12277678","LINC00703;LINC00703","TSS200;TSS200","chr10:4426258","OpenSea",146.6,120.4,176.9,"[120.4, 176.9]"
"cg01911567","FRMD4A","Body","chr10:13727536","OpenSea",-57.6,-75.4,-40,"[-75.4, -40.0]"
"cg03338348","TSNAXIP1;RANBP10;RANBP10","TSS1500;1stExon;5'UTR","chr16:67840472","Island",24.4,17.2,30.9,"[17.2, 30.9]"
"cg04167854","SERGEF","Body","chr11:18031127","N_Shelf",-30.3,-53.2,-4.9,"[-53.2, -4.9]"
"cg23691090","C22orf26;C22orf26;LOC150381","1stExon;5'UTR;Body","chr22:46449981","Island",-62.2,-109.9,-17.1,"[-109.9, -17.1]"
"cg09292826","TCTEX1D4;BTBD19","TSS1500;TSS200","chr1:45274032","S_Shore",-38.8,-76,-6.1,"[-76.0, -6.1]"
"cg12985929","SEPT9;SEPT9;SEPT9;SEPT9","5'UTR;Body;Body;Body","chr17:75370611","S_Shore",-26,-49.7,-3.9,"[-49.7, -3.9]"
"cg20961940","SLC44A4","Body","chr6:31832850","S_Shore",-36.8,-71.3,-4.2,"[-71.3, -4.2]"
